"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
0,0,0,97,0,0,0,0
0,0,0,100,0,0,0,0
83,0,0,0,0,0,0,0
6,0,0,28,114,12,0,0
0,0,37,30,59,0,0,0
37,9,37,5,0,0,0,0
0,3,0,0,0,75,0,0
0,0,0,92,0,0,0,0
0,0,0,0,0,78,0,0
0,0,0,0,0,0,66,15
50,0,0,11,14,0,16,0
0,0,0,0,0,4,78,6
0,84,0,0,0,0,0,0
0,0,0,0,0,74,0,4
35,32,0,16,0,0,0,0
4,67,0,0,0,0,0,0
13,19,10,9,0,0,19,6
0,0,0,0,29,57,0,0
0,74,0,0,0,0,0,0
0,0,15,5,0,0,56,0
0,82,0,0,0,0,0,0
0,81,0,0,0,0,0,0
0,0,0,0,0,0,78,0
0,75,0,0,0,0,0,0
0,0,0,0,62,3,57,0
0,9,23,11,0,0,36,0
0,0,0,0,0,72,0,0
0,0,0,0,0,49,0,9
0,0,0,0,0,5,0,70
79,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
0,0,0,0,0,0,31,33
8,17,0,0,0,25,15,3
0,0,0,0,0,0,54,20
70,0,0,0,0,0,0,0
0,0,0,0,66,12,12,21
0,0,0,0,0,0,45,32
15,0,0,58,0,0,0,0
0,0,0,87,0,0,0,0
0,8,0,0,0,70,0,0
0,0,0,0,0,0,33,32
0,6,38,0,0,0,31,0
0,0,46,0,0,0,13,0
62,0,0,2,0,0,0,0
2,10,17,0,91,0,0,6
0,70,0,0,0,0,0,0
36,0,38,0,0,0,0,0
17,0,0,0,57,27,0,0
0,0,0,89,0,0,0,0
0,0,0,0,0,60,0,4
27,6,0,0,27,0,29,0
0,14,0,0,0,49,0,0
7,0,40,0,0,11,0,0
29,7,0,34,0,0,0,0
19,0,17,10,41,2,0,0
0,7,0,0,0,52,0,0
47,0,22,0,0,0,0,0
0,0,72,0,0,0,0,0
33,0,0,0,0,0,35,1
0,76,0,0,0,0,0,0
0,0,0,0,0,60,0,0
24,5,0,0,0,34,0,0
2,0,0,44,14,33,0,0
15,15,0,0,0,0,33,0
0,0,0,0,0,64,0,0
0,0,0,0,0,52,0,0
66,0,0,0,0,0,0,0
0,4,0,5,0,57,0,0
69,0,0,0,0,0,0,0
0,0,63,0,0,0,0,0
0,0,0,0,0,58,0,0
0,0,0,0,0,53,0,0
0,0,0,0,0,66,0,0
0,75,0,0,0,0,0,0
0,0,0,0,0,0,64,0
45,0,20,0,0,0,0,0
26,0,30,9,15,0,0,0
22,0,0,40,0,6,0,0
5,0,61,0,0,0,0,0
0,0,16,15,0,25,0,4
3,0,0,71,0,1,0,0
0,0,0,0,181,0,0,0
19,0,0,0,4,0,45,0
0,0,0,67,0,1,0,0
0,0,0,10,0,0,68,7
0,0,0,0,0,63,0,0
0,0,0,0,0,48,0,0
