"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
0,129,0,0,0,0,0,0
0,10,119,0,0,0,0,0
0,0,103,26,0,0,0,0
0,0,0,0,24,105,0,0
0,0,0,0,0,91,0,38
0,0,0,0,0,0,129,0
0,0,128,0,0,0,0,0
0,0,0,0,0,0,128,0
91,0,0,0,0,35,0,0
0,11,100,0,0,7,0,8
0,126,0,0,0,0,0,0
0,0,109,17,0,0,0,0
0,0,0,65,33,28,0,0
125,0,0,0,0,0,0,0
0,96,0,29,0,0,0,0
0,0,0,0,0,0,0,125
0,0,0,0,0,113,0,11
0,0,0,0,0,0,121,3
0,123,0,0,0,0,0,0
70,0,0,52,0,0,0,0
51,0,0,0,0,0,0,71
0,0,0,0,0,122,0,0
121,0,0,0,0,0,0,0
71,0,0,0,0,0,50,0
0,20,0,0,0,70,0,31
0,0,0,0,0,0,0,121
0,120,0,0,0,0,0,0
0,76,0,44,0,0,0,0
0,12,108,0,0,0,0,0
0,0,120,0,0,0,0,0
119,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0
25,0,23,0,71,0,0,0
8,111,0,0,0,0,0,0
0,119,0,0,0,0,0,0
0,0,0,119,0,0,0,0
0,0,0,20,0,0,0,99
0,0,0,0,0,0,119,0
53,26,0,35,0,4,0,0
0,118,0,0,0,0,0,0
0,0,118,0,0,0,0,0
0,0,109,0,0,9,0,0
0,116,0,0,0,0,0,0
0,0,86,21,9,0,0,0
50,65,0,0,0,0,0,0
102,0,0,0,13,0,0,0
0,0,115,0,0,0,0,0
0,0,115,0,0,0,0,0
0,0,0,0,0,0,115,0
0,0,0,0,0,0,0,115
0,61,0,53,0,0,0,0
0,0,114,0,0,0,0,0
0,0,0,0,0,114,0,0
0,0,0,0,0,0,0,114
113,0,0,0,0,0,0,0
0,0,113,0,0,0,0,0
0,112,0,0,0,0,0,0
0,112,0,0,0,0,0,0
0,15,0,97,0,0,0,0
0,0,100,12,0,0,0,0
0,0,0,0,0,0,112,0
41,0,0,0,9,0,61,0
0,69,0,0,0,21,0,21
0,0,111,0,0,0,0,0
0,110,0,0,0,0,0,0
0,0,0,0,0,0,0,110
0,109,0,0,0,0,0,0
0,109,0,0,0,0,0,0
0,0,109,0,0,0,0,0
0,0,109,0,0,0,0,0
18,0,58,21,0,9,0,2
